Leaf name,Leaf Link,Chunk Status,Embedding Status,Num Chunks,Timestamp
Import Data from Dropbox,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/cloud-storage/articles/import-data-from-dropbox-9-2-2024,YES,YES,5,2025-01-07 13:23:33
Import Data from Box,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/cloud-storage/articles/import-data-from-box-9-2-2024,YES,YES,5,2025-01-07 13:23:45
Import from One Drive,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/cloud-storage/articles/import-from-one-drive,YES,YES,5,2025-01-07 13:23:56
Import data from Google Drive,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/cloud-storage/articles/import-data-from-google-drive-8-2-2024,YES,YES,5,2025-01-07 13:24:08
Import Data from Zoho WorkDrive,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/cloud-storage/articles/import-data-from-zoho-workdrive-8-2-2024,YES,YES,5,2025-01-07 13:24:19
Import Data from Share Point,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/cloud-storage/articles/import-data-from-share-point,YES,YES,5,2025-01-07 13:24:31
Importing Data from Cloud Drive,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/cloud-storage/articles/from-cloud-storage,YES,YES,6,2025-01-07 13:34:43
Neo4j,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/cloud-databases/articles/neo4j,YES,YES,10,2025-01-07 13:34:55
Import data from Cloud Databases,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/cloud-databases/articles/from-cloud-databases,YES,YES,1,2025-01-07 13:35:07
Amazon RDS - MySQL,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/cloud-databases/articles/amazon-rds-mysql,YES,YES,15,2025-01-07 13:35:18
Amazon RDS - SQL Server,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/cloud-databases/articles/amazonrds-sqlserver,YES,YES,15,2025-01-07 13:35:32
Amazon RDS - Oracle,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/cloud-databases/articles/amazondrs-oracle,YES,YES,15,2025-01-07 13:47:56
Amazon RDS - PostgreSQL,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/cloud-databases/articles/amazonrds-postgresql,YES,YES,14,2025-01-07 13:48:13
Amazon RDS - Maria DB,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/cloud-databases/articles/amazonrds-mariadb,YES,YES,15,2025-01-07 13:48:27
Amazon Aurora - MySQL,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/cloud-databases/articles/amazon-aurora-mysql,YES,YES,16,2025-01-07 13:48:41
Amazon Aurora - PostgreSQL,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/cloud-databases/articles/amazon-aurora-postgresql,YES,YES,16,2025-01-07 13:58:55
Amazon Redshift,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/cloud-databases/articles/amazon-redshift,YES,YES,10,2025-01-07 13:59:09
